NUM;NAME;RAJD;DECJD;P0;DM;
# Generated 2016-11-16 using PALFA Known_Pulsars database
# Contains only sources with DM > 0 and period > 0
243;J1012-5830;153.22875;-58.507111;2.133591;294.0;
244;J1013-5934;153.382725;-59.574083;0.442901;379.78;
245;J1015-5719;153.908167;-57.320222;0.139882;278.7;
246;B1014-53;154.13;-53.753833;0.769584;66.8;
247;J1016-5819;154.050417;-58.316986;0.087834;252.1;
248;J1016-5857;154.088167;-58.953361;0.107386;394.2;
249;B1015-56;154.303583;-56.358528;0.503459;439.1;
250;B1016-16;154.66819;-16.702816;1.804695;48.82;
251;J1019-5749;154.96725;-57.818306;0.162499;1039.4;
252;J1020-5921;155.058458;-59.359444;1.238305;80.0;
253;J1020-6026;155.0475;-60.435222;0.14048;445.0;
254;J1021-5601;155.353417;-56.030806;0.670026;212.0;
255;J1022+1001;155.74166;10.031255;0.016453;10.25;
256;J1022-5813;155.617083;-58.225;1.643726;714.0;
257;J1024-0719;156.161202;-7.321992;0.005162;6.49;
258;J1031-6117;157.759333;-61.297389;0.306411;506.8;
259;B1030-58;158.029167;-59.166667;0.464208;418.2;
260;J1032-5206;158.115375;-52.102361;2.407622;139.0;
261;J1034-3224;158.581296;-32.407217;1.15059;50.75;
262;J1035-6345;158.762833;-63.755114;0.579577;189.7;
263;J1036-4926;159.054471;-49.439381;0.510368;136.53;
264;B1036-58;159.582083;-58.524217;0.661992;72.74;
265;J1038+0032;159.612221;0.545444;0.028852;26.59;
266;B1039-19;160.400817;-19.703781;1.386368;33.78;
267;B1039-55;160.502542;-55.351528;1.170859;306.5;
268;J1043-6116;160.980375;-61.280778;0.288602;449.2;
269;J1045-4509;161.459123;-45.16504;0.007474;58.17;
270;B1044-57;161.578625;-58.231056;0.369427;240.2;
271;J1046+0304;161.680125;3.068583;0.326271;25.3;
272;J1047-3032;161.75339;-30.538334;0.330328;52.54;
273;J1047-6709;161.867842;-67.164185;0.198451;116.16;
274;B1046-58;162.050833;-58.534944;0.123671;129.1;
276;J1049-5833;162.45975;-58.562389;2.202325;446.8;
277;J1052-5954;163.158792;-59.91225;0.180592;491.0;
278;J1052-6348;163.222458;-63.804611;0.38383;167.5;
279;J1054-5943;163.740625;-59.720583;0.346909;330.7;
280;J1054-6452;163.536833;-64.877083;1.840004;234.0;
281;J1055-6022;163.952083;-60.381111;0.947558;590.0;
282;J1055-6236;163.977542;-62.613417;0.448635;149.7;
283;J1055-6905;163.936292;-69.0865;2.919397;142.8;
284;B1054-62;164.106458;-62.979889;0.422447;320.3;
285;J1056-5709;164.182458;-57.159583;0.676082;436.5;
286;B1055-52;164.495167;-52.448972;0.197108;30.1;
287;B1056-78;164.364167;-79.240056;1.347402;51.0;
288;J1057-47;164.4375;-47.95;0.6283;60.0;
289;J1058-5957;164.642708;-59.960111;0.61627;334.0;
290;B1056-57;164.75375;-57.703944;1.184999;108.7;
291;J1103-6025;165.881167;-60.426775;0.396587;275.9;
292;J1104-6103;166.071925;-61.051078;0.280905;78.51;
293;J1105-6107;166.359042;-61.130944;0.063193;271.01;
294;J1106-6438;166.6185;-64.65;2.717934;203.0;
295;B1105-59;166.994583;-59.784444;1.516531;158.4;
296;J1107-5907;166.893583;-59.121861;0.252773;40.2;
297;J1107-6143;166.80125;-61.733056;1.799396;406.0;
298;B1107-56;167.501667;-56.625806;0.558253;262.56;
299;B1110-65;168.160542;-66.218;0.334213;249.3;
300;B1110-69;168.2125;-69.441944;0.820484;148.4;
301;J1112-6103;168.061708;-61.058639;0.064962;599.1;
302;B1112-60;168.593833;-61.0095;0.88082;677.0;
303;B1112+50;168.91;50.503414;1.65644;9.2;
304;J1115-6052;168.973667;-60.871611;0.259777;228.2;
305;B1114-41;169.179525;-41.378878;0.943158;40.53;
306;J1117-6154;169.349208;-61.906111;0.505097;493.6;
307;J1117-6447;169.4375;-64.799444;1.155272;303.0;
308;B1118-79;169.92;-79.608417;2.280597;27.4;
309;J1119-6127;169.809583;-61.46375;0.407746;707.4;
310;B1119-54;170.329954;-54.734861;0.535783;204.7;
311;J1123-4844;170.815213;-48.739653;0.244838;92.92;
312;J1123-6102;170.92375;-61.035056;0.640234;439.4;
313;J1123-6259;170.981454;-62.986317;0.271434;223.26;
314;J1123-6651;170.967542;-66.863631;0.232976;111.2;
315;J1124-5638;171.235292;-56.644361;0.18556;289.5;
316;J1124-5916;171.162917;-59.272222;0.135314;330.0;
317;J1124-6421;171.247917;-64.354722;0.479099;298.0;
318;J1125-6014;171.480075;-60.235169;0.00263;52.95;
319;B1124-60;171.7192;-60.9111;0.202737;280.27;
320;J1126-6942;171.590292;-69.70425;0.579416;55.33;
321;J1128-6219;172.194583;-62.319167;0.515984;675.0;
322;J1130-5826;172.568042;-58.433972;0.162323;261.1;
323;J1130-5925;172.5435;-59.426139;0.680984;264.4;
324;J1130-6807;172.632971;-68.124589;0.256353;148.73;
325;J1132-5627;173.065583;-56.458028;0.175166;305.7;
326;B1131-62;173.464375;-62.847389;1.022875;567.8;
327;B1133+16;174.013532;15.851244;1.187913;4.86;
328;B1133-55;174.009042;-55.418972;0.364706;85.5;
329;J1137-6700;174.383704;-67.009169;0.556216;228.04;
330;J1138-6207;174.590083;-62.133139;0.117564;519.8;
331;J1141-3107;175.356787;-31.131278;0.538432;30.77;
332;J1141-3322;175.428173;-33.377059;0.291468;46.45;
333;J1141-6545;175.279258;-65.755302;0.393898;116.05;
334;J1142-6230;175.71875;-62.501083;0.558383;343.8;
335;J1143-5158;175.812771;-51.977747;0.675646;159.03;
336;J1144-6146;176.145;-61.780278;0.987783;78.7;
337;J1144-6217;176.008792;-62.29175;0.850665;284.7;
338;B1143-60;176.53225;-60.5165;0.273372;111.68;
339;J1148-5725;177.118875;-57.420167;3.559937;174.0;
340;J1148-6415;177.1575;-64.259167;3.241029;241.0;
341;J1152-5800;178.041667;-58.009444;1.789829;191.0;
342;J1152-6012;178.224167;-60.205833;0.37657;74.0;
343;J1154-6250;178.58375;-62.834083;0.282012;74.0;
344;J1156-5707;179.031042;-57.117194;0.288409;243.5;
345;J1156-5909;179.089583;-59.153417;1.037931;219.2;
346;B1154-62;179.3135;-62.414131;0.400522;325.2;
347;J1157-5112;179.284025;-51.215594;0.043589;39.67;
348;J1159-6409;179.840417;-64.165833;0.667486;178.0;
349;J1159-7910;179.898792;-79.168222;0.525074;59.24;
350;J1201-6306;180.345875;-63.116528;0.592136;683.0;
351;B1159-58;180.618346;-58.342611;0.452801;145.41;
352;J1204-6843;181.153;-68.721442;0.308861;133.93;
354;J1210-5559;182.52495;-55.984422;0.279767;174.35;
355;J1210-6550;182.675;-65.834611;4.23701;37.0;
356;J1211-6324;182.85075;-63.412556;0.433084;333.8;
357;J1214-5830;183.535083;-58.507194;0.909823;141.1;
358;J1215-5328;183.752583;-53.475444;0.636414;163.0;
359;J1216-6223;184.174542;-62.399389;0.374047;786.6;
360;J1216-6410;184.030582;-64.169229;0.003539;47.4;
361;J1220-6318;185.074417;-63.312917;0.789212;347.0;
362;J1222-5738;185.717917;-57.638889;1.081164;74.0;
363;B1221-63;186.092438;-64.131642;0.216476;97.47;
364;J1224-6208;186.184375;-62.14475;0.585761;454.2;
365;B1222-63;186.428333;-64.145278;0.419618;415.1;
366;J1225-5556;186.432613;-55.945317;1.018453;125.83;
367;J1225-6035;186.369292;-60.593778;0.626324;176.1;
368;J1231-4609;187.940667;-46.162556;0.877239;76.0;
369;J1231-47;187.916667;-47.766667;1.8732;31.0;
370;J1231-6303;187.804167;-63.055;1.351236;301.0;
371;J1232-6501;188.074333;-65.017592;0.088282;239.4;
372;J1233-6312;188.38125;-63.208056;0.564759;414.0;
373;J1233-6344;188.41625;-63.748611;0.756892;495.0;
374;B1232-55;188.829167;-55.266667;0.638234;100.0;
375;J1235-6354;188.9905;-63.908444;0.256778;439.9;
376;J1236-5033;189.246458;-50.560083;0.29476;105.02;
